lead_time,no_of_special_requests,avg_price_per_room,arrival_month,arrival_date,market_segment_type,no_of_week_nights,no_of_weekend_nights,type_of_meal_plan,room_type_reserved,booking_status
35,1,75.0,10,26,3,2,1,0,3,1
17,1,125.8,12,29,4,3,1,0,3,1
5,0,135.5,9,19,4,1,1,0,0,1
99,0,90.95,4,25,4,3,1,0,0,0
359,1,78.0,10,14,3,3,2,0,0,1
25,0,216.0,3,29,4,4,0,0,5,0
96,0,126.9,6,4,4,1,0,0,0,0
11,1,90.0,8,29,4,1,0,0,0,1
22,3,139.0,9,15,4,3,0,3,0,1
56,3,133.1,3,20,4,3,2,0,3,1
119,0,140.4,5,27,4,2,1,0,3,0
88,0,90.6,10,5,3,1,1,1,0,1
13,0,71.0,1,20,3,1,0,0,0,1
273,1,76.46,10,21,4,2,1,0,0,1
194,0,124.95,8,26,4,3,2,0,3,0
5,0,55.74,3,7,3,4,1,0,0,1
0,1,0.0,3,9,1,1,0,0,0,1
247,2,115.2,9,14,4,3,0,0,0,0
38,0,85.5,9,10,3,2,2,0,0,1
9,0,78.0,12,16,4,2,1,3,0,1
70,0,97.33,4,22,4,2,2,0,0,1
2,2,133.5,9,3,4,2,0,0,0,1
52,0,140.4,5,11,4,3,0,0,3,0
56,1,207.9,8,6,4,1,1,0,5,1
13,0,221.0,5,4,4,3,0,0,5,0
43,2,94.5,10,18,4,0,1,0,0,1
103,0,107.55,7,11,4,3,1,0,0,1
3,4,155.68,9,20,4,3,0,0,1,1
10,2,0.0,4,7,1,2,0,0,0,1
40,1,100.1,11,11,4,2,0,0,0,1
153,0,189.9,6,12,4,1,2,0,5,0
13,2,114.0,11,16,4,1,0,0,0,1
85,0,90.95,4,13,4,5,2,0,0,0
47,2,120.95,1,20,4,4,1,0,4,1
200,0,72.25,7,15,3,2,1,0,0,1
140,2,103.42,5,28,4,4,2,0,3,1
141,2,149.85,9,4,4,2,2,0,0,1
12,0,95.0,10,12,2,3,1,0,0,1
72,0,85.5,10,7,3,2,0,0,0,1
56,0,65.49,3,6,4,2,2,0,3,1
113,1,76.5,8,22,4,1,0,0,0,0
2,1,149.0,5,28,4,1,0,3,0,1
40,1,145.35,3,23,4,4,0,0,3,0
128,1,114.3,8,8,4,3,1,0,0,1
80,1,76.5,7,3,4,2,1,0,0,0
16,1,111.75,10,1,4,3,1,0,0,1
43,0,168.3,7,14,4,1,0,0,3,0
33,0,103.05,8,29,4,1,1,3,0,0
179,1,98.25,8,25,4,3,1,3,0,0
79,0,89.25,9,2,4,3,0,0,0,0
207,3,80.01,10,20,4,3,2,0,0,1
212,0,78.0,5,20,3,3,2,0,0,0
3,1,169.0,8,26,4,2,0,0,0,1
265,0,109.0,6,24,3,2,0,1,0,0
57,1,40.0,7,20,2,3,0,0,0,1
163,0,100.8,10,5,3,3,0,0,0,0
10,0,169.0,6,12,4,6,4,0,3,0
26,0,153.0,4,10,4,2,2,0,3,0
42,0,63.0,3,21,3,2,1,0,0,0
40,1,96.91,12,7,4,4,0,0,3,1
1,0,107.0,10,25,3,3,0,0,3,1
35,0,97.0,9,17,3,3,0,0,3,1
94,0,137.7,7,13,4,2,0,0,3,1
115,1,123.75,8,3,4,4,0,0,0,1
65,1,105.61,12,26,4,3,1,0,3,1
115,2,170.63,12,27,4,5,0,0,6,1
99,0,118.8,10,8,4,2,2,0,0,0
95,0,87.04,4,23,3,5,2,0,0,1
4,1,128.0,3,21,4,2,1,0,0,1
86,0,120.0,9,24,3,1,0,1,0,1
79,3,96.3,4,15,4,2,1,0,0,1
0,0,120.0,10,12,3,1,0,0,0,1
98,1,98.24,4,26,4,5,2,0,0,1
110,0,149.4,9,22,4,3,1,0,3,0
55,2,73.8,11,10,4,1,0,0,0,1
28,1,159.0,9,16,4,2,0,0,0,1
297,0,90.95,10,23,4,2,2,0,0,0
117,2,177.3,5,5,4,3,0,0,5,1
61,0,94.5,7,26,4,2,0,3,0,0
100,2,146.7,7,3,4,0,2,0,3,1
228,1,76.85,7,29,4,2,1,0,1,1
20,1,154.0,7,17,4,0,1,0,0,1
167,2,85.0,11,19,4,3,2,0,0,1
159,0,70.0,2,13,3,1,0,0,0,1
3,0,0.0,9,17,1,1,0,0,0,1
93,0,60.67,12,30,3,3,0,0,3,1
189,3,96.3,10,28,4,2,1,0,0,1
39,1,90.23,12,25,4,2,1,0,0,1
17,0,84.0,9,14,3,2,1,0,0,1
182,1,96.94,3,28,4,5,2,0,0,0
3,0,65.0,4,25,2,0,1,0,0,1
35,1,65.06,3,6,4,2,2,0,0,1
126,1,76.5,7,27,4,2,1,0,0,1
179,1,155.25,7,27,4,1,0,1,0,0
116,1,126.9,6,15,4,1,0,0,0,1
2,1,138.67,9,14,4,2,1,0,0,1
353,0,73.74,12,29,4,3,1,0,1,0
64,0,105.3,7,17,4,2,2,0,0,0
131,1,103.5,7,7,4,1,0,3,0,1
0,0,180.0,9,20,4,1,0,3,0,1
158,1,82.88,7,2,4,2,2,3,0,1
46,1,74.8,11,3,4,3,1,3,0,1
1,1,176.0,5,21,4,1,0,0,3,0
1,0,89.0,8,10,4,3,1,0,0,1
85,0,98.0,12,3,4,1,1,0,0,0
56,0,168.3,7,30,4,2,2,0,3,0
87,0,75.0,5,8,3,3,2,0,0,1
99,0,81.0,2,19,2,2,0,0,0,1
26,1,114.0,12,4,4,4,2,0,3,1
42,1,127.79,3,12,4,5,2,1,3,1
13,2,169.5,5,5,4,3,1,0,3,1
109,0,90.95,5,22,3,1,2,0,3,1
11,1,140.0,11,5,4,1,0,0,3,0
57,1,64.37,11,11,4,2,1,3,0,1
11,0,93.8,2,12,3,2,1,0,3,1
58,1,92.75,10,10,4,1,2,0,0,1
45,2,78.54,10,16,4,2,2,0,3,1
99,0,146.7,7,3,4,2,2,0,3,0
3,1,106.0,3,31,4,1,0,0,0,1
0,1,96.6,8,20,4,1,1,3,3,1
23,0,145.0,7,5,4,2,0,0,0,0
2,0,64.8,11,30,3,0,1,0,0,1
298,0,76.0,5,10,3,2,0,0,0,1
22,1,127.0,10,1,4,3,0,0,0,1
346,0,72.25,12,28,4,4,0,3,0,0
74,0,75.0,4,17,3,2,2,0,0,1
1,1,130.0,5,28,4,1,1,0,0,1
150,1,76.5,8,14,4,2,1,0,0,1
32,1,107.1,11,14,4,4,1,0,3,0
88,0,58.0,3,12,3,1,1,0,0,1
72,1,119.85,5,14,4,2,2,0,0,0
41,1,140.4,8,20,4,2,2,0,0,1
45,0,112.5,4,7,4,1,0,0,0,0
86,1,93.6,12,15,4,2,0,0,0,1
187,1,99.45,7,11,4,5,2,0,3,0
158,1,123.25,5,25,4,4,0,0,3,0
56,2,115.09,4,24,4,3,2,0,0,1
75,1,76.5,10,31,4,2,2,0,0,0
219,0,74.0,9,4,3,3,2,0,0,1
81,1,99.45,3,24,4,3,1,0,3,0
5,1,100.87,5,15,4,2,2,0,0,1
12,1,178.5,9,24,4,3,1,3,0,1
29,1,132.72,5,20,4,3,2,0,3,0
251,0,108.8,9,22,4,4,2,0,0,0
122,2,128.0,3,27,3,1,2,1,0,1
26,0,90.44,3,1,4,5,0,1,0,1
61,0,60.0,2,3,3,4,1,0,0,1
140,0,116.1,9,7,4,2,0,3,0,0
163,1,99.45,6,29,4,4,0,0,3,1
196,0,105.3,8,4,4,3,0,0,0,0
29,0,135.3,5,20,4,2,2,0,3,0
16,0,127.5,4,7,4,3,1,0,3,0
44,0,124.46,8,29,4,5,2,0,3,1
28,0,66.0,2,8,4,3,1,0,0,1
23,1,147.9,11,22,4,4,0,0,5,0
14,0,105.0,7,21,2,2,0,0,0,1
1,1,96.3,10,23,4,2,2,0,0,1
58,1,116.1,6,10,4,2,1,3,0,1
4,1,169.0,9,20,4,1,0,0,0,1
2,1,65.0,12,17,2,1,2,0,0,1
187,1,99.45,8,6,4,6,4,0,0,0
4,0,65.0,5,10,2,1,0,0,0,1
122,0,60.59,4,18,4,3,1,0,0,1
18,0,91.38,12,8,4,3,1,0,0,1
44,2,104.63,10,29,4,3,1,0,3,1
45,1,124.6,7,2,4,1,2,3,0,0
62,1,91.48,4,21,4,3,0,0,3,1
17,1,135.0,10,7,4,2,0,3,0,0
56,1,93.6,11,25,4,2,0,0,0,0
55,0,63.0,3,13,3,0,2,0,0,1
32,0,152.1,7,3,4,2,2,0,0,0
43,0,0.0,10,23,4,1,0,0,0,1
157,0,91.38,7,11,4,3,1,3,0,0
119,0,101.0,3,29,3,2,0,0,0,1
31,0,147.72,8,22,3,2,1,1,0,1
89,1,96.3,4,12,4,3,0,0,0,1
4,0,175.0,8,30,4,2,0,0,3,1
55,2,79.2,12,10,4,1,1,3,0,1
136,0,99.95,4,20,4,9,2,0,0,0
65,1,134.0,8,26,3,2,2,0,0,1
1,0,115.0,8,4,4,1,0,0,0,1
126,0,118.8,9,8,4,3,0,3,0,0
107,2,135.15,5,22,4,2,2,0,0,1
7,2,98.13,11,24,4,3,1,0,0,1
77,1,145.8,11,6,4,2,2,0,3,1
219,2,168.3,8,18,4,1,0,0,5,0
73,0,149.4,7,6,4,4,0,0,3,0
2,0,64.08,3,28,4,0,1,3,0,1
6,1,80.0,3,2,4,2,0,3,0,1
100,0,132.08,10,24,4,3,1,1,0,1
5,0,77.0,11,28,2,0,1,0,0,1
211,0,63.75,12,16,4,2,2,3,0,0
1,2,138.0,8,16,4,1,2,0,0,1
0,0,65.0,10,27,2,2,0,0,0,1
14,0,75.0,11,18,3,2,1,0,0,1
1,0,91.0,2,24,4,1,0,0,0,1
212,1,90.95,8,8,4,3,1,0,0,1
15,0,153.0,9,2,4,2,1,0,3,1
2,0,169.33,8,15,4,2,1,3,0,1
28,1,205.0,10,6,4,3,1,1,3,1
0,0,111.67,10,15,4,1,2,3,0,1
123,0,120.34,10,21,4,5,2,0,3,1
15,0,145.0,10,6,4,1,0,0,0,0
322,0,80.0,5,19,4,3,1,0,0,0
52,1,130.9,12,17,4,4,2,0,3,1
21,0,112.67,2,27,4,1,2,0,3,0
1,0,124.0,8,11,4,1,0,0,0,1
56,1,60.0,11,6,3,2,1,0,3,1
111,0,137.7,7,24,4,1,2,0,3,0
5,1,111.0,11,18,4,2,0,0,0,1
91,0,103.5,7,3,4,2,2,3,0,1
75,0,80.0,3,17,3,3,1,0,0,0
30,0,99.0,4,13,4,4,0,3,0,0
32,1,214.75,8,17,4,2,0,0,6,1
84,0,80.1,10,25,4,2,0,3,0,1
4,0,1.0,2,23,4,2,0,0,0,1
88,3,125.66,12,28,4,3,0,0,3,1
163,1,73.37,4,9,4,5,2,0,0,1
192,0,86.0,9,25,3,3,2,0,0,1
11,1,126.69,11,7,4,3,1,0,3,1
15,1,87.33,12,27,3,5,1,0,3,1
114,1,87.05,5,14,4,2,2,0,3,1
29,0,89.93,3,4,4,2,1,0,0,1
16,0,86.25,1,18,4,3,1,0,1,1
2,0,133.0,9,23,4,2,0,3,0,1
22,1,133.0,9,27,4,2,0,0,0,1
9,1,80.3,1,15,4,2,1,0,0,1
122,0,95.2,4,29,4,2,2,0,0,0
46,2,163.8,5,16,4,1,1,0,3,1
76,1,80.75,5,17,3,3,0,0,0,1
2,2,106.0,8,21,4,2,0,0,0,1
29,1,119.0,10,16,4,0,1,3,0,1
160,1,96.9,7,5,3,1,0,0,0,1
14,0,107.0,12,27,4,2,2,0,0,1
9,0,129.33,4,6,4,3,0,0,3,1
6,1,90.0,8,3,2,1,0,0,3,1
91,0,40.0,9,30,3,2,1,0,0,1
4,1,79.0,2,12,4,2,0,3,0,1
222,2,72.9,12,2,4,2,1,0,0,0
28,2,130.0,11,2,4,3,0,0,0,1
30,1,140.4,4,29,4,2,2,0,3,1
178,0,100.3,6,4,4,3,2,0,0,0
86,1,60.0,3,2,3,2,0,0,0,1
45,1,93.6,12,2,4,2,0,0,0,1
28,0,93.4,9,5,4,3,1,0,0,1
208,0,150.45,9,12,4,12,5,0,3,0
65,1,127.38,8,4,4,1,0,0,1,1
0,0,55.76,11,25,4,1,0,3,0,1
110,2,138.55,7,7,4,3,1,0,3,1
28,1,149.0,9,18,4,0,2,0,0,1
0,3,0.0,6,21,1,2,0,0,0,1
252,0,106.3,10,15,4,1,2,0,0,0
89,0,128.85,5,8,4,2,2,0,0,1
102,3,156.0,7,10,4,4,2,1,3,1
74,1,80.75,5,3,3,3,0,0,0,1
54,0,130.05,4,20,4,3,0,0,0,1
28,1,130.66,7,2,4,3,2,3,0,1
18,2,96.0,9,13,4,2,2,0,0,1
148,0,88.12,6,29,3,3,0,0,3,1
20,0,65.0,6,29,2,1,0,0,0,1
22,1,0.0,11,26,1,0,0,0,1,1
37,1,108.8,12,27,4,4,0,0,0,1
8,2,95.0,8,18,4,3,0,0,0,1
29,1,96.3,10,13,4,4,0,0,0,1
0,0,79.0,11,28,2,1,1,0,0,0
134,1,109.65,6,5,4,2,2,3,0,1
66,0,89.1,4,2,4,1,2,0,0,0
134,2,135.0,10,15,4,1,2,0,3,1
8,3,133.6,10,4,4,3,2,0,0,1
1,0,95.0,3,7,4,1,1,0,0,1
195,2,112.2,8,17,4,5,2,0,3,0
19,0,68.5,9,12,2,0,1,0,0,1
241,1,101.79,9,2,4,2,2,0,3,0
70,0,87.3,2,18,4,3,0,0,0,1
30,2,88.0,12,8,4,3,0,3,0,1
31,0,69.3,10,19,3,2,1,0,0,1
67,2,89.1,10,28,4,1,0,3,0,1
3,1,65.0,4,11,2,0,1,0,0,1
4,0,154.5,12,19,4,1,0,0,1,1
8,1,85.35,10,29,4,1,2,3,0,1
206,0,58.14,7,28,4,3,1,3,0,0
71,1,119.85,5,30,4,3,1,0,0,1
6,0,152.0,11,24,4,1,0,1,3,1
97,1,109.81,4,30,4,5,2,0,0,1
30,0,85.0,3,13,3,1,2,0,0,1
80,2,126.0,11,18,4,2,1,0,3,1
35,2,148.6,10,15,4,1,1,1,0,1
50,1,108.0,10,19,4,1,0,3,0,0
4,0,92.93,8,2,4,1,0,3,0,1
19,0,69.0,12,5,4,2,2,0,0,1
0,1,96.0,12,22,4,1,0,0,0,1
6,2,169.0,7,11,4,2,1,0,0,1
30,3,108.0,12,12,4,0,1,3,0,1
0,1,83.16,12,26,4,0,1,0,3,1
76,0,120.0,10,10,4,0,1,0,0,0
64,1,86.4,11,18,4,2,0,0,0,0
27,1,115.0,9,18,4,2,1,3,0,1
115,2,110.7,8,4,4,3,2,0,0,1
6,0,89.0,11,4,4,1,0,0,0,1
24,0,0.0,5,8,1,2,2,0,0,1
81,1,190.8,10,10,4,3,1,0,5,1
48,0,67.5,2,19,4,2,1,3,0,0
158,2,89.5,12,23,4,2,2,0,0,1
4,0,91.0,2,13,4,1,2,0,0,1
9,0,61.5,1,16,4,6,2,0,3,1
186,0,112.2,8,3,4,5,2,0,3,0
67,1,109.8,4,3,4,1,2,0,3,1
1,0,96.0,10,1,3,1,0,0,0,1
290,0,73.95,12,1,4,3,1,0,0,0
21,0,151.0,8,15,4,2,1,0,0,0
48,2,115.5,7,9,4,1,2,0,0,1
269,1,80.0,12,29,3,3,2,0,0,1
11,1,61.5,1,1,3,2,0,0,0,1
10,0,126.0,5,8,4,1,2,0,3,0
3,0,70.0,4,18,3,1,1,0,0,1
68,1,89.93,4,2,4,3,2,0,0,1
0,0,89.0,7,29,4,1,0,3,0,1
33,2,116.1,5,19,4,1,0,3,0,1
1,0,141.0,5,11,3,1,0,0,0,1
8,0,110.0,10,28,0,2,0,0,3,1
133,2,70.04,8,21,4,3,2,3,0,1
188,1,134.4,9,28,4,4,2,0,3,0
21,0,157.0,6,1,4,2,0,0,3,0
85,0,162.3,4,7,4,3,0,0,5,0
280,0,73.46,8,4,4,2,0,0,0,0
175,1,129.2,7,10,4,6,4,0,3,0
6,2,110.5,12,28,4,4,0,0,0,1
128,0,140.7,7,11,4,2,1,0,0,0
77,1,74.61,12,24,4,3,2,0,3,1
5,0,129.65,10,28,4,4,2,0,3,1
34,1,118.96,3,10,4,8,3,0,3,0
151,0,136.12,8,4,4,5,2,0,0,0
94,3,72.25,12,4,4,2,1,0,0,1
96,1,75.0,12,27,3,3,2,0,3,1
1,1,0.0,7,30,1,1,0,0,0,1
155,1,121.5,8,21,4,0,1,0,0,0
3,1,110.5,12,24,4,2,2,0,4,1
134,1,176.45,8,1,4,4,1,0,5,1
218,2,110.22,12,26,4,5,1,0,3,0
12,1,92.0,1,2,4,2,2,0,0,1
55,0,159.3,5,8,4,1,2,0,3,1
11,1,119.7,10,4,4,3,2,0,0,1
168,1,112.8,7,18,4,2,1,0,3,0
59,0,177.93,4,26,4,5,1,0,5,0
43,2,176.67,11,9,4,3,0,0,0,1
24,0,38.33,2,19,3,2,1,0,0,1
110,0,143.1,6,3,4,1,0,0,0,0
55,4,102.04,10,13,4,3,0,0,3,1
17,2,138.0,12,30,4,2,0,0,0,1
80,2,137.7,4,11,4,2,1,0,0,1
35,1,92.33,9,29,4,4,0,0,3,1
232,0,75.65,12,24,3,3,2,3,0,1
173,2,100.8,3,31,4,3,0,0,0,0
7,2,78.63,11,17,4,3,1,3,0,1
18,2,149.0,9,23,4,2,0,3,0,1
17,0,177.0,6,16,4,2,0,0,3,0
34,0,78.3,2,12,4,2,1,0,0,1
58,0,94.5,7,18,4,2,1,3,0,0
83,1,124.65,5,7,4,2,2,0,0,1
48,0,67.5,3,5,4,1,2,3,0,0
117,0,72.5,8,1,3,1,2,1,0,1
62,1,155.52,11,6,4,3,2,0,0,1
68,0,109.8,11,27,4,1,2,0,0,0
122,1,118.8,8,2,4,3,0,0,3,1
30,1,159.0,10,20,4,3,0,0,0,0
141,0,90.0,9,20,3,0,1,0,0,1
75,2,126.0,11,18,4,2,1,0,3,1
132,0,55.63,12,20,4,2,2,0,0,1
10,1,90.0,8,18,4,5,0,0,0,1
78,1,86.32,3,20,4,5,2,0,3,1
53,1,79.2,12,16,4,2,1,3,0,1
93,1,85.5,8,15,4,3,2,0,0,0
106,1,90.95,4,17,4,2,2,0,3,1
17,0,108.2,12,9,3,7,2,1,3,1
23,0,54.75,9,6,3,2,2,0,0,1
3,1,0.0,1,10,4,0,0,3,0,1
16,0,117.0,4,22,4,1,0,0,0,0
5,0,83.03,2,11,4,3,0,0,1,0
52,1,88.0,11,5,4,1,0,3,0,1
238,0,80.0,10,13,3,3,0,0,0,1
205,0,69.36,12,1,3,3,0,0,3,1
2,1,0.0,5,29,4,0,0,3,0,1
2,0,95.0,11,25,4,2,0,3,0,1
3,2,98.0,8,22,4,1,1,0,0,1
26,2,169.52,9,28,4,4,1,0,6,0
6,0,120.0,11,16,4,1,0,3,4,1
1,0,125.0,5,31,4,1,0,0,0,1
38,0,73.1,3,4,4,4,2,3,0,0
34,0,147.93,11,7,4,2,1,0,0,1
349,0,90.0,10,4,4,5,1,0,0,0
9,0,54.74,3,11,3,2,2,0,0,1
162,0,168.3,7,4,4,0,1,0,5,0
39,0,71.1,3,3,4,3,1,3,0,0
13,1,101.0,4,8,4,1,0,0,0,1
32,0,63.0,11,11,3,2,0,3,0,1
31,2,94.0,9,25,4,3,2,0,3,1
50,0,12.0,2,22,3,5,2,0,4,0
133,2,117.3,11,26,4,2,2,1,0,1
3,1,110.5,12,28,4,4,0,0,0,1
82,0,76.5,4,11,3,2,1,0,0,1
5,1,68.53,5,16,4,0,1,3,0,1
71,1,124.44,12,4,4,2,0,0,4,1
48,1,73.95,3,7,4,3,1,0,0,0
81,0,75.0,12,16,3,2,1,0,0,1
145,0,94.5,8,29,3,1,2,1,0,0
90,3,95.0,9,5,3,5,1,0,0,1
85,0,107.1,8,18,4,1,0,3,0,0
123,1,114.75,5,22,4,4,2,0,3,0
2,0,72.2,9,23,4,2,0,0,0,1
308,0,71.91,12,29,4,3,2,3,0,0
79,4,139.5,7,24,4,4,2,0,3,1
187,0,111.35,8,28,4,5,2,0,0,0
63,0,79.2,11,24,4,1,0,3,0,0
33,0,95.4,3,13,4,2,2,0,3,1
35,2,96.3,10,20,4,4,0,0,0,1
96,1,122.31,9,27,4,3,0,0,0,0
3,2,122.33,5,13,4,4,2,3,0,1
103,0,123.3,10,26,4,3,0,0,3,1
75,0,60.0,2,20,3,2,2,0,0,1
7,2,131.0,4,23,4,1,1,0,0,1
36,2,99.0,9,1,4,2,0,3,0,1
73,2,79.2,11,12,4,1,0,3,0,1
35,0,81.0,9,26,3,0,1,0,0,0
280,2,198.9,8,12,4,1,0,0,1,0
158,3,89.25,7,25,4,3,1,3,0,1
1,0,164.0,10,6,4,2,0,0,4,1
205,1,90.95,7,22,4,3,2,0,0,0
18,0,89.0,6,23,4,1,0,3,0,1
1,0,0.0,8,20,1,1,0,0,0,1
310,1,96.3,10,26,4,2,0,0,0,0
35,1,80.3,2,12,4,2,0,0,0,1
133,0,90.95,6,21,3,5,0,0,3,1
41,0,65.0,3,4,3,2,1,0,0,1
30,4,168.3,7,7,4,4,2,0,3,1
7,0,83.0,1,4,4,2,1,0,0,1
15,0,117.67,4,12,4,3,0,3,0,0
66,1,152.15,5,9,4,3,1,1,0,1
91,2,113.4,10,3,4,1,1,0,0,1
15,2,77.35,11,22,4,5,2,3,0,0
196,0,96.3,10,27,4,2,0,0,0,0
77,2,118.8,7,26,4,4,0,0,3,1
69,0,94.5,4,26,4,3,0,3,0,0
122,1,107.0,3,27,3,1,2,1,0,1
3,1,89.5,12,19,4,1,1,0,0,1
82,1,107.1,8,14,4,2,2,3,0,0
9,2,88.4,12,4,4,2,2,0,0,1
1,1,119.0,10,28,3,1,0,0,4,1
267,0,80.75,10,25,3,2,0,0,0,1
152,0,80.75,6,18,3,4,2,0,0,1
92,1,76.5,4,6,4,1,0,3,0,1
104,0,126.9,6,9,4,3,0,0,0,0
30,1,96.9,11,15,4,4,0,0,3,0
87,0,79.2,12,25,4,0,2,3,0,1
110,0,63.75,8,14,3,1,2,3,0,1
7,0,67.0,3,2,3,2,0,0,0,1
12,3,100.94,11,12,4,2,2,0,0,1
19,2,99.0,9,12,4,0,1,0,0,1
99,1,107.95,4,27,4,4,2,0,3,1
40,0,62.8,3,26,3,1,1,3,0,1
78,0,75.0,4,26,3,4,0,0,0,1
7,2,143.2,9,21,4,4,1,0,0,1
49,1,77.39,12,23,4,5,2,3,0,1
2,2,143.22,4,1,4,2,2,0,5,1
110,0,36.25,7,25,3,1,2,1,0,1
69,1,90.95,10,17,3,3,1,0,3,1
9,2,166.0,7,13,4,3,0,0,3,1
2,0,125.0,9,1,2,1,0,0,4,1
36,1,81.62,10,21,4,4,1,0,1,1
55,1,60.0,11,18,3,4,0,0,3,1
170,1,108.3,8,18,4,3,0,0,0,0
51,1,75.6,9,16,3,5,2,0,0,1
76,1,72.25,11,1,4,2,2,0,0,1
320,0,0.0,8,18,4,2,0,1,0,0
8,0,65.0,10,23,2,2,0,0,0,1
130,2,153.3,10,31,4,2,1,0,5,1
0,0,65.0,3,15,2,2,0,0,0,1
151,2,126.9,9,4,4,5,2,0,0,0
0,0,0.0,11,10,1,2,0,0,0,1
192,0,110.0,6,24,3,2,0,0,0,0
100,0,100.0,9,28,3,4,0,0,0,0
14,0,80.08,5,31,4,2,0,3,0,1
4,0,169.0,9,15,4,3,2,0,0,1
1,0,65.0,9,30,2,1,0,0,0,1
85,0,90.0,9,9,2,2,0,0,0,1
46,0,75.0,11,4,3,2,0,0,0,1
54,0,79.2,11,11,4,2,0,3,0,0
54,1,150.45,5,13,4,2,2,0,3,1
11,0,140.0,10,21,4,2,0,3,0,1
66,1,90.0,11,26,3,3,2,0,3,1
21,1,72.42,5,9,4,1,1,3,0,1
147,0,128.76,10,8,3,2,2,1,0,1
6,0,65.8,3,2,3,1,0,0,0,1
166,0,107.95,7,24,3,2,2,1,3,0
119,3,72.25,12,26,4,1,2,0,0,1
85,0,140.4,6,2,4,1,0,0,3,0
161,0,116.1,9,8,3,3,0,0,0,0
21,0,67.0,11,21,2,0,1,0,0,1
16,0,80.0,1,27,2,1,0,0,0,1
89,1,90.95,4,10,4,3,2,0,0,1
167,1,119.7,5,20,4,2,1,0,0,0
0,0,138.0,8,17,4,0,1,0,0,1
0,0,88.0,12,5,4,0,1,3,0,1
59,1,109.8,8,31,4,3,0,0,0,1
59,1,89.1,6,26,4,0,1,3,0,1
76,1,76.5,7,7,4,3,0,0,0,0
41,2,123.3,8,31,4,4,1,0,3,1
2,0,144.8,11,25,3,2,0,0,5,1
1,0,0.0,9,24,1,1,0,0,0,1
51,0,106.2,4,1,4,2,1,0,3,1
94,0,105.3,7,14,4,3,0,0,0,0
75,1,87.55,4,4,4,4,1,0,0,1
7,0,82.0,2,24,3,3,0,0,0,1
6,0,86.5,12,18,4,1,0,0,1,1
63,1,99.0,9,4,4,0,1,3,0,1
60,0,75.0,11,18,3,2,0,0,0,1
85,0,140.4,5,26,4,2,0,0,3,0
80,3,101.77,12,20,4,5,2,1,0,1
186,2,130.05,8,6,4,6,2,0,3,0
1,0,0.0,10,22,1,0,0,0,3,1
262,0,63.75,12,14,4,4,2,3,0,0
9,1,160.29,7,14,4,5,2,0,3,1
77,1,126.9,5,8,4,2,2,0,0,1
0,0,6.0,4,8,4,1,0,0,5,1
70,2,119.85,5,11,4,5,2,0,0,1
14,0,115.0,9,5,4,1,1,3,0,1
17,1,153.62,10,30,4,2,2,0,5,1
49,0,159.3,5,7,4,1,1,0,3,0
34,0,75.0,10,30,3,2,2,0,0,1
53,2,142.2,9,3,4,1,2,0,3,1
39,1,88.0,1,10,3,1,2,0,5,1
32,1,75.0,11,15,1,2,0,0,4,1
1,0,117.8,5,18,3,1,0,0,0,1
56,3,103.5,10,21,4,3,0,0,0,1
108,3,150.3,8,27,4,1,1,0,3,1
5,1,65.0,10,3,2,0,1,0,0,1
66,1,92.7,4,1,4,2,1,0,0,1
79,1,90.95,4,13,4,4,0,0,0,1
52,1,115.09,10,31,4,5,1,0,3,1
109,0,92.65,12,27,3,3,0,0,0,1
33,2,94.5,9,15,4,3,0,0,0,1
335,0,0.0,10,13,4,3,0,0,0,0
51,0,139.28,9,3,4,2,2,0,3,0
69,0,118.8,4,22,4,2,1,0,3,0
152,1,80.75,7,1,4,2,2,3,0,1
194,0,86.62,7,9,4,1,2,0,1,0
0,0,88.0,8,11,2,1,0,0,0,1
53,1,149.4,8,6,4,1,0,0,3,1
101,1,126.9,5,5,4,3,0,0,0,1
13,1,79.0,2,13,4,1,0,3,0,1
119,0,90.9,4,15,4,2,0,0,0,0
90,0,108.3,6,26,4,4,2,0,0,1
32,0,73.32,4,18,4,5,1,0,0,1
22,0,89.0,3,16,2,2,0,0,0,1
115,1,116.1,6,6,4,2,1,0,0,1
161,1,123.46,6,21,4,4,0,0,3,0
203,0,96.3,8,9,4,3,0,0,0,0
9,0,95.0,10,30,3,1,0,0,0,1
120,1,121.5,7,13,4,3,0,0,0,1
0,0,126.0,10,12,4,1,1,0,0,1
87,0,93.55,6,8,4,5,2,3,0,0
292,1,158.4,7,23,4,1,2,0,5,0
52,0,79.2,9,5,4,0,1,3,0,1
6,0,79.0,7,12,2,1,0,0,0,1
46,2,97.2,11,6,4,0,1,0,0,1
3,1,118.58,10,10,4,0,1,0,0,1
112,0,116.28,8,24,3,4,0,0,4,0
83,0,80.75,3,28,3,4,1,0,0,1
87,0,131.0,12,25,4,0,2,0,0,1
125,1,99.45,7,23,4,2,2,0,0,1
23,1,90.95,11,12,4,3,1,0,0,1
204,1,90.95,7,18,4,8,3,0,0,1
14,1,100.0,11,2,4,1,0,3,0,1
160,0,102.3,7,17,4,1,2,0,0,0
3,1,95.0,11,19,4,1,0,3,0,0
49,0,99.0,3,23,4,2,0,0,0,0
145,0,153.0,10,22,4,1,1,1,0,0
148,0,118.15,7,21,4,3,2,0,0,1
17,1,82.0,12,18,3,2,2,0,0,1
46,0,99.0,10,30,4,0,1,3,0,0
